abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.42403712296983753,0.0,1867,1422,g__Acinetobacter,,ERR1514003
0.11545243619489559,0.0,3293,1883,g__Bacteroides,,ERR1514003
0.019582366589327146,0.0,1692,1386,g__Delftia,,ERR1514003
0.03545243619489559,0.0,1187,1056,g__Dialister,,ERR1514003
0.06542923433874709,5.507619340243372e-16,1986,1472,g__Faecalibacterium,,ERR1514003
0.027749419953596286,-2.017374871341298e-12,2879,1747,g__Parabacteroides,,ERR1514003
0.12770301624129932,0.0,2712,1656,g__Phocaeicola,,ERR1514003
0.08946635730858468,0.0,2184,1588,g__Pseudomonas,,ERR1514003
0.039814385150812065,0.0,1281,1149,g__Sphingobacterium,,ERR1514003
0.05531322505800464,8.905178400096858,1545,1282,g__Stenotrophomonas,,ERR1514003
0.42403712296983753,0.916630852662501,1867,1422,g__Acinetobacter,1.0,ERR1514003
0.11545243619489559,0.03230978138220316,3293,1883,g__Bacteroides,1.0,ERR1514003
0.019582366589327146,0.04248520019357965,1692,1386,g__Delftia,1.0,ERR1514003
0.03545243619489559,0.07691608647821935,1187,1056,g__Dialister,1.0,ERR1514003
0.06542923433874709,-4.805701559840557e-16,1986,1472,g__Faecalibacterium,1.0,ERR1514003
0.027749419953596286,0.058836400379660495,2879,1747,g__Parabacteroides,1.0,ERR1514003
0.12770301624129932,0.2707594337318873,2712,1656,g__Phocaeicola,1.0,ERR1514003
0.08946635730858468,0.19410259921499626,2184,1588,g__Pseudomonas,1.0,ERR1514003
0.039814385150812065,0.08637936597023892,1281,1149,g__Sphingobacterium,1.0,ERR1514003
0.05531322505800464,0.12000563458252542,1545,1282,g__Stenotrophomonas,1.0,ERR1514003
0.42403712296983753,0.8249639610001576,1867,1422,g__Acinetobacter,0.9,ERR1514003
0.11545243619489559,0.2186501510710515,3293,1883,g__Bacteroides,0.9,ERR1514003
0.019582366589327146,0.03831614176583345,1692,1386,g__Delftia,0.9,ERR1514003
0.03545243619489559,0.0693683933807981,1187,1056,g__Dialister,0.9,ERR1514003
